지역,등록인구 (명),인구밀도 (명/㎢),평균연령 (세),탑승량,플라스틱 배출량,카페수,편의점수,유동인구,의료기관 수,대학교 수,y
광산구 도산동,16014,4004,40.4,439538,401.5561,17,10,14181,10.0,0.0,0.07072145519313759
광산구 동곡동,2002,129,52.9,46017,401.5561,3,3,0,1.0,0.0,0.0007365677146543865
광산구 본량동,2082,62,35.2,42264,401.5561,3,3,0,0.0,0.0,0.0
광산구 비아동,7807,1587,41.1,246826,401.5561,23,13,11238,9.0,0.0,0.06842830739846328
광산구 삼도동,2321,60,58.6,24517,401.5561,3,3,0,3.0,0.0,0.0021484646962288295
광산구 송정동,18216,13947,44.95,2687403,803.1122,39,18,37525,54.0,0.0,0.22820981552262332
광산구 수완동,78622,17055,35.8,1847436,401.5561,145,59,30510,101.0,0.0,0.4936904420721851
광산구 신가동,19308,12143,36.3,1776888,401.5561,22,8,8683,32.0,0.0,0.11497432405678272
광산구 신창동,35460,8910,33.9,1309390,401.5561,62,26,18953,33.0,1.0,0.28709098089198365
광산구 신흥동,4784,884,44.5,1514941,401.5561,3,3,0,0.0,0.0,0.03201605541816993
광산구 어룡동,34111,1910,38.0,1637322,401.5561,46,27,13601,19.0,1.0,0.26148564097862725
광산구 우산동,28193,6183,42.2,1590082,401.5561,43,30,14761,38.0,0.0,0.19901887780641142
광산구 운남동,31860,11179,38.5,1517877,401.5561,23,15,18565,49.0,0.0,0.1584459981782221
광산구 월곡동,31895,31884,41.2,1646173,803.1122,47,28,16257,30.0,0.0,0.21924322792348286
광산구 임곡동,2208,74,56.4,80732,401.5561,3,5,0,2.0,0.0,0.006503034853472836
광산구 첨단1동,27728,12490,38.5,2784476,401.5561,33,23,28264,86.0,2.0,0.3873760913774333
광산구 첨단2동,44613,12931,37.1,603965,401.5561,83,51,20362,4.0,0.0,0.2649700728615697
광산구 평동,5318,178,57.2,597911,401.5561,13,19,3521,5.0,0.0,0.06510179400567478
광산구 하남동,25015,1623,57.0,951660,401.5561,54,37,14281,18.0,1.0,0.2677261234653239
남구 대촌동,6268,177,51.1,141667,204.5133,7,6,4024,4.0,0.0,0.013429726048904187
남구 방림동,16272,30022,45.55,701244,409.0266,14,87,14396,17.0,0.0,0.2367525076905989
남구 백운동,18963,40182,44.7,999157,409.0266,31,12,14225,26.0,0.0,0.11759860898277547
남구 봉선동,43437,33319,41.55,1592151,409.0266,74,25,17794,93.0,0.0,0.28453781657623994
남구 사직동,5471,8969,48.9,367196,204.5133,10,5,6099,8.0,0.0,0.02289072671410033
남구 송암동,20602,2986,36.5,1241133,204.5133,29,16,4883,21.0,1.0,0.1827316230757031
남구 양림동,7353,11671,46.3,44982,204.5133,43,5,7556,7.0,2.0,0.20278861795746408
남구 월산동,23086,38798,48.666666666666664,1593418,613.5399,29,17,17616,48.0,0.0,0.17052616332051945
남구 주월동,28082,22740,44.8,2322827,409.0266,50,17,12415,38.0,0.0,0.19348199591171028
남구 진월동,29488,10989,40.8,2041348,204.5133,48,25,8892,65.0,1.0,0.2842362226952929
남구 효덕동,46498,5522,40.7,429513,204.5133,22,8,7907,10.0,0.0,0.09080899593546131
동구 계림동,18265,30556,44.4,893669,348.9504,39,19,36916,31.0,0.0,0.15506865575994247
동구 동명동,4064,9451,48.8,1143745,174.4752,65,9,11431,4.0,0.0,0.10780526232812761
동구 산수동,19363,24018,46.55,783602,348.9504,27,10,21381,27.0,0.0,0.10784746655569624
동구 서남동,11798,6922,44.7,7398915,348.9504,72,25,67142,83.0,1.0,0.4602186812880039
동구 지산동,9740,7816,45.7,586019,348.9504,53,17,21750,7.0,0.0,0.12338617173222731
동구 지원동,24671,6648,43.7,1078790,348.9504,29,15,19178,15.0,0.0,0.12143993218436286
동구 충장동,4613,4082,47.4,4809273,174.4752,129,24,256810,63.0,0.0,0.5012870465683269
동구 학운동,11996,1183,49.0,537802,174.4752,24,5,15290,4.0,0.0,0.051392308895928544
북구 건국동,53041,17272,36.599999999999994,1575341,771.9368,102,42,38329,67.0,2.0,0.5202358808907812
북구 동림동,23870,7277,40.7,1074791,385.9684,13,9,15685,17.0,0.0,0.09053647982499935
북구 두암동,38515,32940,47.93333333333334,2711833,1157.9052,54,29,40472,76.0,1.0,0.39909632614779655
북구 매곡동,14164,7574,40.6,1019360,385.9684,21,5,17185,41.0,0.0,0.09907857503789246
