지역,종별,의료기관명,수
광산구 도산동,군부대시설,제1전투비행단항공의무대대,1
동구 계림동,병원,계림병원,1
동구 계림동,병원,차병원,1
동구 대인동,병원,대중병원,1
동구 학동,병원,씨엠맘삼성병원,1
동구 계림동,병원,가나병원,1
서구 쌍촌동,병원,광주힐병원,1
서구 풍암동,병원,슬기로운병원,1
서구 화정동,병원,화정아동병원,1
서구 화정동,병원,뉴 엔젤병원,1
서구 화정동,병원,중앙병원,1
서구 쌍촌동,병원,문영래 정형외과병원,1
서구 동천동,병원,광주동천병원,1
서구 치평동,병원,시원병원,1
서구 치평동,병원,서울휴병원,1
서구 치평동,병원,새희망병원,1
서구 화정동,병원,소망하나로병원,1
서구 쌍촌동,병원,코끼리휴병원,1
서구 금호동,병원,우리아동병원,1
서구 농성동,병원,밝은안과21병원,1
서구 농성동,병원,아이퍼스트아동병원,1
서구 치평동,병원,미즈피아병원,1
서구 동천동,병원,광주동림병원,1
서구 양동,병원,무지개병원,1
서구 치평동,병원,우리들병원,1
서구 치평동,병원,보라안과병원,1
서구 화정동,병원,광주새우리병원,1
서구 광천동,병원,시엘병원,1
남구 월산동,병원,화이트병원,1
남구 주월동,병원,광주참병원,1
남구 방림동,병원,사랑샘병원,1
남구 월산동,병원,원힐링병원,1
남구 진월동,병원,예사랑아동병원,1
남구 봉선동,병원,한일병원,1
남구 방림동,병원,가제트병원,1
남구 백운동,병원,모아산부인과병원,1
남구 백운동,병원,광주백병원,1
남구 서동,병원,새미래병원,1
남구 봉선동,병원,미래아동병원,1
북구 신안동,병원,신안병원,1
북구 각화동,병원,빛고을생생병원,1
북구 양산동,병원,해온병원,1
북구 각화동,병원,광주아주병원,1
북구 신용동,병원,더나은병원,1
북구 용봉동,병원,비엔날레병원,1
북구 운암동,병원,성보병원,1
북구 신용동,병원,광주바로병원,1
북구 우산동,병원,말바우엘병원,1
북구 양산동,병원,아이맘아동병원,1
북구 신용동,병원,새나래병원,1
북구 양산동,병원,빛고을여성병원,1
북구 본촌동,병원,호남권역재활병원,1
북구 운암동,병원,새운암병원,1
북구 풍향동,병원,에스케이제이병원,1
북구 운암동,병원,광주굿모닝병원,1
북구 중흥동,병원,튼튼정형외과병원,1
북구 운암동,병원,문화여성병원,1
북구 각화동,병원,우암병원,1
북구 각화동,병원,광주미래병원,1
북구 두암동,병원,북구우리들병원,1
북구 매곡동,병원,엔탑이비인후과병원,1
