학교명,주소,위도,경도,구,동
호남대학교,광주광역시 광산구 호남대길 120,35.14996766,126.7650403,광산구,서봉동
남부대학교,광주광역시 광산구 남부대길 1,35.2070609,126.8422582,광산구,월계동
광주여자대학교,광주광역시 광산구 광주여대길 40,35.16313639,126.7964649,광산구,산정동
광주보건대학교,광주광역시 광산구 북문대로 419번길 73,35.19169546,126.8461886,광산구,신창동
한국방송통신대학교 광주전남지역대학,광주광역시 광산구 첨단내촌로 6,35.20745205,126.8360555,광산구,월계동
서울사이버대학교광주캠퍼스,광주광역시 서구 무진대로 976,35.160813,126.887112,서구,농성동
광주대학교,광주광역시 남구 효덕로 277,35.107391,126.895655,남구,진월동
송원대학교,광주광역시 남구 송암로 73,35.108449,126.871367,남구,송하동
조선대학교,광주광역시 동구 조선대길 146,35.14149,126.932184,동구,서석동
전남대학교,광주광역시 북구 용봉로 77,35.176329,126.90446,북구,용봉동
광주교육대학교,광주광역시 북구 필문대로 55,35.165033,126.926362,북구,풍향동
광신대학교,광주광역시 북구 양산택지소로 36,35.215752,126.885191,북구,본촌동
광주과학기술원,광주광역시 북구 첨단과기로 123,35.22753,126.83948,북구,오룡동
호남신학대학교,광주광역시 남구 양림동 제중로 77,35.139776,126.911333,남구,양림동
기독간호대학교,광주광역시 남구 백서로70번길 6,35.138497,126.916039,남구,양림동
동강대학교,광주광역시 북구 동문대로 50,35.169507,126.923892,북구,두암동
서영대학교,광주광역시 북구 운암1동 서강로 1,35.175695,126.869292,북구,운암동
한국폴리텍V광주대학,광주광역시 북구 운암동 58-1,35.183817,126.879447,북구,운암동
