시도명,시군구명,상호명,상권업종중분류명,상권업종소분류코드,상권업종소분류명,행정동명,경도,위도,지역
광주광역시,서구,커피베이,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.883920207721,35.1427452681776,서구 화정동
광주광역시,서구,꾸러기카페,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.871271740052,35.1384636979122,서구 화정동
광주광역시,서구,꿈이있는풍경,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.882643496386,35.1277614212185,서구 화정동
광주광역시,서구,광주굿모닝커피,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.86932849997,35.1242487093163,서구 화정동
광주광역시,서구,카페테리아,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.866618616342,35.1226639949218,서구 화정동
광주광역시,서구,파스쿠찌광주풍암점,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.881882781878,35.1208046802343,서구 화정동
광주광역시,서구,아코다초코,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.874444100238,35.1463533058594,서구 화정동
광주광역시,서구,영자클럽,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.883344195692,35.1214401130058,서구 화정동
광주광역시,서구,미르스터디카페,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.87283234141,35.1462481845297,서구 화정동
광주광역시,서구,카페,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.882532330077,35.1214416446016,서구 화정동
광주광역시,서구,메가MGC커피광주,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.886557256845,35.142499111443,서구 화정동
광주광역시,서구,설빙,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.868810429796,35.125217376031,서구 화정동
광주광역시,서구,이디야커피,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.880046017855,35.1259526930429,서구 화정동
광주광역시,서구,라코,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.867479275744,35.1183453673655,서구 화정동
광주광역시,서구,비허밍스터디카페,커피점/카페,Q12A01,커피전문점/카페/다방,화정2동,126.883690273699,35.1475295218549,서구 화정동
광주광역시,서구,골목노리협동조합,커피점/카페,Q12A01,커피전문점/카페/다방,화정3동,126.877878676115,35.1471783824911,서구 화정동
광주광역시,서구,카페뜰&기지개,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.86832127152,35.124095086503,서구 화정동
광주광역시,서구,카페칸타빌레중앙점,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.885161187059,35.1289924702905,서구 화정동
광주광역시,서구,스타벅스,커피점/카페,Q12A01,커피전문점/카페/다방,풍암동,126.879638628172,35.1268593322891,서구 화정동
광주광역시,서구,커피바이오켐,커피점/카페,Q12A01,커피전문점/카페/다방,화정4동,126.873674535145,35.142470189291,서구 화정동
