동별(1),동별(2),쓰레기배출량,플라스틱 배출량
동구,충장동,782.4,174.4752
동구,동명동,782.4,174.4752
동구,계림1동,782.4,174.4752
동구,계림2동,782.4,174.4752
동구,산수1동,782.4,174.4752
동구,산수2동,782.4,174.4752
동구,지산1동,782.4,174.4752
동구,지산2동,782.4,174.4752
동구,서남동,782.4,174.4752
동구,학동,782.4,174.4752
동구,학운동,782.4,174.4752
동구,지원1동,782.4,174.4752
동구,지원2동,782.4,174.4752
서구,양동,1732.4,386.3252
서구,양3동,1732.4,386.3252
서구,농성1동,1732.4,386.3252
서구,농성2동,1732.4,386.3252
서구,광천동,1732.4,386.3252
서구,유덕동,1732.4,386.3252
서구,치평동,1732.4,386.3252
서구,상무1동,1732.4,386.3252
서구,상무2동,1732.4,386.3252
서구,화정1동,1732.4,386.3252
서구,화정2동,1732.4,386.3252
서구,화정3동,1732.4,386.3252
서구,화정4동,1732.4,386.3252
서구,서창동,1732.4,386.3252
서구,금호1동,1732.4,386.3252
서구,금호2동,1732.4,386.3252
서구,풍암동,1732.4,386.3252
서구,동천동,1732.4,386.3252
남구,양림동,917.1,204.5133
남구,방림1동,917.1,204.5133
남구,방림2동,917.1,204.5133
남구,봉선1동,917.1,204.5133
남구,봉선2동,917.1,204.5133
남구,사직동,917.1,204.5133
남구,월산동,917.1,204.5133
남구,월산4동,917.1,204.5133
남구,월산5동,917.1,204.5133
남구,백운1동,917.1,204.5133
남구,백운2동,917.1,204.5133
남구,주월1동,917.1,204.5133
남구,주월2동,917.1,204.5133
남구,효덕동,917.1,204.5133
남구,송암동,917.1,204.5133
남구,대촌동,917.1,204.5133
북구,중흥1동,1730.8,385.9684
북구,중흥2동,1730.8,385.9684
북구,중흥3동,1730.8,385.9684
북구,중앙동,1730.8,385.9684
북구,임동,1730.8,385.9684
북구,신안동,1730.8,385.9684
북구,용봉동,1730.8,385.9684
북구,운암1동,1730.8,385.9684
북구,운암2동,1730.8,385.9684
북구,운암3동,1730.8,385.9684
북구,동림동,1730.8,385.9684
북구,우산동,1730.8,385.9684
북구,풍향동,1730.8,385.9684
북구,문화동,1730.8,385.9684
북구,문흥1동,1730.8,385.9684
북구,문흥2동,1730.8,385.9684
북구,두암1동,1730.8,385.9684
북구,두암2동,1730.8,385.9684
북구,두암3동,1730.8,385.9684
북구,삼각동,1730.8,385.9684
북구,일곡동,1730.8,385.9684
북구,매곡동,1730.8,385.9684
북구,오치1동,1730.8,385.9684
북구,오치2동,1730.8,385.9684
북구,석곡동,1730.8,385.9684
북구,건국동,1730.8,385.9684
북구,양산동,1730.8,385.9684
북구,신용동,1730.8,385.9684
광산구,송정1동,1800.7,401.5561
광산구,송정2동,1800.7,401.5561
광산구,도산동,1800.7,401.5561
광산구,신흥동,1800.7,401.5561
광산구,어룡동,1800.7,401.5561
광산구,우산동,1800.7,401.5561
광산구,월곡1동,1800.7,401.5561
광산구,월곡2동,1800.7,401.5561
광산구,비아동,1800.7,401.5561
광산구,첨단1동,1800.7,401.5561
광산구,첨단2동,1800.7,401.5561
광산구,신가동,1800.7,401.5561
광산구,운남동,1800.7,401.5561
광산구,신창동,1800.7,401.5561
광산구,수완동,1800.7,401.5561
광산구,하남동,1800.7,401.5561
광산구,임곡동,1800.7,401.5561
광산구,동곡동,1800.7,401.5561
광산구,평동,1800.7,401.5561
광산구,삼도동,1800.7,401.5561
광산구,본량동,1800.7,401.5561
남구,진월동,917.1,204.5133
